target_id,SRR7478650,SRR7478651,SRR7478652,SRR7478653,SRR7478654,SRR7478655,SRR7478656,SRR7478657,SRR7478658,SRR7478659,SRR7478660,SRR7478661,SRR7478663,SRR7478664,SRR7478665,SRR7478666,SRR7478667,SRR7478668,SRR7478669,SRR7478670,SRR7478671,SRR7478672,SRR7478673,SRR7478675,SRR7478676,SRR7478677,SRR7478678,SRR7478682,SRR7478683,SRR7500695,SRR7500696,SRR7500697,SRR7500698,SRR7500704,SRR7500705,SRR7500706,SRR7500708,SRR7500709,SRR7500710,SRR7500711,SRR7500712,SRR7500713,SRR7500714,SRR7500718,SRR7500720,SRR7500722,SRR7500724,SRR7500725,SRR7500726,SRR7500729
OIT93936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIT93919,168.579,169.657,167.24599999999998,168.479,161.80700000000002,166.252,164.66099999999997,162.004,172.81400000000002,174.53799999999998,168.49400000000003,167.015,97.9374,101.26,97.3764,75.4935,75.1993,73.2226,74.2152,97.4237,94.1779,93.8003,92.3765,135.292,137.205,143.375,57.4441,138.507,136.475,168.717,157.016,156.325,125.426,103.661,103.75200000000001,88.1736,96.0946,98.4782,94.8295,96.0945,98.0739,95.1726,105.37299999999999,143.80200000000002,143.68200000000002,131.65200000000002,132.635,127.281,137.21200000000002,137.145
OIT93920,247.847,250.267,236.794,252.06400000000002,232.107,234.1,230.19099999999997,231.60299999999998,261.11400000000003,258.323,250.46099999999998,250.893,73.8306,77.4563,72.4798,44.7738,40.0821,40.2136,44.8226,59.3996,56.8616,53.9446,61.0738,169.412,172.91299999999998,227.331,0.0,178.908,177.111,240.183,237.22400000000002,236.291,141.281,190.873,190.582,119.99799999999999,129.503,117.554,151.94799999999998,145.14600000000002,167.074,146.504,179.99,76.1482,74.5032,48.0903,42.7343,43.0518,41.8374,41.2564
OIT93921,503.63,489.152,513.469,504.33,526.867,513.008,508.093,506.30400000000003,544.643,538.548,534.549,540.781,267.661,258.651,267.252,167.15200000000002,177.019,161.57,156.128,199.329,199.524,210.608,196.985,424.026,421.949,491.37300000000005,209.514,368.681,368.444,687.065,661.6310000000001,654.9590000000001,362.60900000000004,691.285,666.539,628.028,607.503,623.216,625.587,628.933,635.7769999999999,612.143,671.637,518.821,506.634,356.829,364.381,359.86300000000006,376.171,372.409
OIT93922,212.002,207.187,203.967,208.679,190.128,195.972,197.896,203.505,239.935,235.72099999999998,237.02200000000002,230.12,56.975,54.8646,51.6063,36.6948,40.5351,42.8569,37.9447,48.1944,45.8925,47.4358,49.2913,170.68599999999998,161.196,177.752,172.108,140.856,138.76,358.914,345.528,365.538,137.099,266.385,255.75599999999997,246.775,255.46200000000002,248.495,254.49900000000002,257.925,253.62099999999998,263.421,276.678,253.15200000000002,252.908,209.105,199.093,204.524,215.75900000000001,211.847
OIT93923,549.053,550.805,567.651,562.269,532.59,521.76,521.9159999999999,517.6709999999999,653.592,641.455,658.1439999999999,651.408,221.96400000000003,216.394,212.72400000000002,159.931,163.59799999999998,167.247,166.592,192.80599999999998,186.76,188.429,194.343,384.59,382.12199999999996,409.658,594.9780000000001,345.48199999999997,341.491,462.327,461.895,450.26300000000003,400.642,469.714,456.022,472.18699999999995,487.11800000000005,482.027,479.67800000000005,464.473,454.787,472.925,480.68,376.645,366.64300000000003,313.33,316.673,304.847,307.41200000000003,312.046
OIT93924,832.567,841.347,852.8380000000001,853.204,798.6110000000001,783.0830000000001,803.7660000000001,794.6439999999999,1000.92,997.39,1012.98,997.284,372.439,343.64,366.94599999999997,299.982,323.79,328.259,290.89599999999996,324.947,316.633,353.68800000000005,342.49800000000005,651.3530000000001,646.961,596.025,1457.94,575.347,563.246,738.3380000000001,734.52,712.6389999999999,726.905,896.3639999999999,873.3789999999999,658.904,711.0219999999999,705.3380000000001,680.83,660.4739999999999,666.544,687.2660000000001,889.155,753.06,727.0,758.075,759.5210000000001,754.245,778.068,794.835
OIT93925,63.7364,57.8437,62.0068,65.9325,57.7549,58.7536,58.8865,60.351000000000006,63.3091,70.3965,64.6732,69.3643,21.1578,19.2452,15.373,13.8132,11.6317,11.0519,12.3039,14.5626,15.7344,14.6906,16.2092,50.4068,50.8976,59.5077,0.0,36.6823,38.9801,268.879,257.16200000000003,268.683,56.606,100.615,96.35700000000001,78.3464,76.934,78.3148,85.7787,80.3026,88.565,80.9148,108.06299999999999,62.0535,58.253,70.9514,70.1835,74.1956,68.1392,71.263
OIT93926,121.346,107.59700000000001,118.469,113.921,109.227,110.18299999999999,99.7851,124.228,114.56299999999999,105.31,107.289,120.244,42.9143,34.1787,44.0782,33.4404,31.3917,35.7667,27.9971,42.1107,40.4101,41.4075,33.0041,75.6039,84.7361,59.0777,0.0,52.8901,48.4749,325.085,333.983,330.095,94.4108,200.886,183.984,141.201,148.85,149.149,144.03,148.12,137.874,146.67,220.263,133.988,136.06799999999998,184.174,188.25599999999997,174.145,188.14700000000002,196.345
OIT93927,703.685,664.225,715.7660000000001,781.316,746.2230000000001,762.1,593.151,682.2289999999999,748.203,832.323,682.0269999999999,805.9789999999999,324.347,318.09,339.51599999999996,264.297,341.145,312.439,308.98900000000003,353.4,237.077,282.125,292.983,531.144,515.815,194.551,0.0,357.76300000000003,397.52099999999996,1583.33,1485.86,1504.12,1347.27,742.6389999999999,659.408,646.263,576.216,441.04900000000004,508.724,596.674,658.798,529.075,925.2560000000001,640.818,573.335,805.028,660.4830000000001,880.441,899.7719999999999,925.072
